id,scientificNameWithoutAuthor,commonNames,gbifId,powoId,iucnCategory
1397928,Valeriana supina,Dwarf valerian,4095164,860228-1,
1743380,Valeriana trinervis,,4094754,860263-1,
1396984,Valeriana tripteris,Three leaved Valerian; Valerian,7298997,860266-1,
1360841,Valeriana tuberosa,Tuberous Valerian; Mountain Spikenard,4096119,860271-1,LC
1815892,Valeriana umbilicata,Navel Cornsalad,9722614,77185704-1,
1842514,Valeriana urbani,,4095988,262394-2,
1491822,Valeriana urticifolia,,7298968,286659-2,
1744079,Valeriana vesicaria,,4095831,860294-1,
1833667,Valeriana wandae,,10751922,77185700-1,
1817031,Valeriana woodsiana,Spring Valerania,9758368,77185698-1,
1847428,Valerianella × zoltanii,Jupiter's beard,8112913,860504-1,
1743257,Valerianella abyssinica,,4095551,860316-1,
1360843,Valerianella coronata,Crowned corn salad; Crowned lamb's lettuce,7298858,,
1360845,Valerianella dentata,Narrowfruit cornsalad; Narrow fruited cornsalad; Narrow fruit cornsalad; Narrow fruited corn salad; Smooth Fruited Cornsalad,2888789,,
1360846,Valerianella discoidea,Disk Cornsalad,4095067,,
1360847,Valerianella echinata,Spiny Cornsalad; Spiny lamb's lettuce,4095048,,
1360848,Valerianella eriocarpa,Italian cornsalad; Hairy Fruited Cornsalad; Italian corn salad; Hairy fruit cornsalad; Narrow fruit cornsalad; Hairy fruited corn salad,2888773,,
1364098,Valerianella locusta,Lamb's lettuce; Common cornsalad; Cornsalad; Lewiston cornsalad; Corn salad; European cornsalad; Lamb’s lettuce; European corn salad; Field salad; Common corn salad,2888778,,
1360850,Valerianella microcarpa,,7298981,,
1396985,Valerianella vesicaria,Bladder Cornsalad,4095244,,
1432456,Valiha diffusa,,4149565,1001974-1,
1656075,Valiha perrieri,,4149322,1001975-1,CR
1463338,Vallaris glabra,Bread flower,5535734,82646-1,
1852887,Vallaris solanacea,,5535699,82660-1,
1369890,Vallaris solanacea,Bread Flower,5535699,82660-1,
1537621,Vallea stipularis,,7721174,836044-1,LC
1439468,Vallesia antillana,Tearshrub; Pearlberry,5414417,262478-2,LC
1463340,Vallesia aurantiaca,,5535689,1003803-1,LC
1403781,Vallesia glabra,Pearlberry; Tearshrub,5414418,82668-1,LC
1414165,Vallisneria americana,American eelgrass; Tapegrass; Eelgrass; Wild celery; Flumine Mississippi; Tape grass; Water celery; Eel grass; Watercelery; American Eel Grass; American tape grass; Vallisneria,2865501,431972-1,LC
1555119,Vallisneria australis,Australian eelgrass,2865524,77093478-1,
1430991,Vallisneria natans,Asian tape grass,2865504,431989-1,LC
1356033,Vallisneria spiralis,Tapegrass; Eelweed; Tape grass; Eelgrass; Coiled vallisneria; Straight vallisneria; Corkscrew Val; Patajhangi; Straight eelgrass; Tapeweed; Vallisneria; گندمی،; آب فنر،,2865526,431996-1,LC
1439470,Vancouveria chrysantha,Golden insideout flower; Golden inside out-flower; Siskiyou inside out-flower; Golden inside out flower; Siskiyou inside out flower,5371720,107620-1,
1816639,Vancouveria hexandra,Northern inside out flower; American barrenwort; Deciduous vancouvaria; Northern inside out-flower; White inside out flower; White inside out-flower; White insideout flower,5371716,107623-1,
